id,age,educ,paeduc,sex,race,income,region,polviews,relig,slt8,s9_11,s12,s13_15,s16,s17_18,sgt18,stage,cage,female,white,black,other,south,nrthest,midwest,west,missed,missag,misssx,missra,missrg,misspa,miss
372,48,16,12,male,white,$25000 or more,pacific,slghtly conservative,none,16,1,1,0,0,0,0,.11387725,1.98,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
373,26,16,16,male,white,$20000 - 24999,pacific,slightly liberal,catholic,16,1,0,1,1,0,0,-1.152979,-20.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
374,35,20,8,male,white,$25000 or more,pacific,extremely liberal,none,20,0,0,0,0,0,0,-.63471961,-11.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
375,42,16,5,male,white,$25000 or more,pacific,slghtly conservative,christian,16,0,0,0,0,0,0,-.23162898,-4.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
376,52,13,12,male,black,$25000 or more,pacific,moderate,none,13,1,1,0,0,0,0,.34421474,5.98,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0
377,27,16,16,female,white,$25000 or more,pacific,moderate,none,16,1,0,1,1,0,0,-1.0953946,-19.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
378,44,13,3,male,white,$3000 to 3999,pacific,extremely liberal,none,13,0,0,0,0,0,0,-.11646024,-2.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
379,38,14,12,female,black,$25000 or more,pacific,conservative,protestant,14,1,1,0,0,0,0,-.46196648,-8.0200005,Yes,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0
380,75,16,12,male,other,$10000 - 14999,pacific,moderate,catholic,16,1,1,0,0,0,0,1.6686553,28.98,No,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
381,42,16,6,female,other,$25000 or more,pacific,slghtly conservative,catholic,16,0,0,0,0,0,0,-.23162898,-4.02,Yes,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
382,89,12,3,female,white,refused,pacific,extremely liberal,protestant,12,0,0,0,0,0,0,2.4748366,42.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
383,52,15,16,female,white,$25000 or more,pacific,moderate,protestant,15,1,0,1,1,0,0,.34421474,5.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
384,74,12,,male,white,$25000 or more,pacific,liberal,none,12,1,0,1,0,1,1,1.611071,27.98,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
385,61,16,,male,white,$25000 or more,pacific,conservative,none,16,1,0,1,0,1,1,.86247408,14.98,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
386,76,12,12,female,white,$25000 or more,pacific,conservative,protestant,12,1,1,0,0,0,0,1.7262397,29.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
387,50,15,12,female,other,$25000 or more,pacific,slightly liberal,protestant,15,1,1,0,0,0,0,.229046,3.98,Yes,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
388,44,14,12,male,white,$25000 or more,pacific,conservative,catholic,14,1,1,0,0,0,0,-.11646024,-2.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
389,38,17,17,female,white,$25000 or more,pacific,liberal,orthodox-christian,17,1,0,1,0,1,0,-.46196648,-8.0200005,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
390,53,14,18,female,other,$25000 or more,pacific,slghtly conservative,catholic,14,1,0,1,0,1,0,.40179911,6.98,Yes,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
391,71,3,,female,white,refused,pacific,moderate,jewish,3,1,0,1,0,1,1,1.4383178,24.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
392,73,14,,female,white,refused,pacific,moderate,catholic,14,1,0,1,0,1,1,1.5534866,26.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
393,43,12,,female,white,,pacific,,jewish,12,1,0,1,0,1,1,-.17404461,-3.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
394,36,20,12,male,white,$25000 or more,pacific,liberal,catholic,20,1,1,0,0,0,0,-.57713521,-10.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
395,40,18,16,female,white,refused,pacific,slightly liberal,jewish,18,1,0,1,1,0,0,-.34679773,-6.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
396,42,12,,female,white,refused,pacific,moderate,none,12,1,0,1,0,1,1,-.23162898,-4.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
397,68,12,,female,white,$25000 or more,pacific,moderate,protestant,12,1,0,1,0,1,1,1.2655647,21.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
398,45,13,12,female,white,$25000 or more,pacific,liberal,none,13,1,1,0,0,0,0,-.05887587,-1.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
399,34,12,,female,white,$25000 or more,pacific,moderate,none,12,1,0,1,0,1,1,-.69230396,-12.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
400,26,16,14,female,white,$8000 to 9999,pacific,moderate,protestant,16,1,0,1,0,0,0,-1.152979,-20.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
401,49,17,14,female,white,$25000 or more,pacific,slightly liberal,none,17,1,0,1,0,0,0,.17146163,2.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
402,59,18,8,female,white,$15000 - 19999,pacific,moderate,protestant,18,0,0,0,0,0,0,.74730533,12.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
403,45,14,12,male,white,$10000 - 14999,pacific,moderate,jewish,14,1,1,0,0,0,0,-.05887587,-1.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
404,77,3,,male,white,$7000 to 7999,pacific,,none,3,1,0,1,0,1,1,1.7838241,30.98,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
405,56,11,3,male,black,lt $1000,pacific,extremely liberal,protestant,11,0,0,0,0,0,0,.57455224,9.9799995,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0
406,48,12,,male,black,$5000 to 5999,pacific,moderate,none,12,1,0,1,0,1,1,.11387725,1.98,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,1,1
407,57,12,7,male,black,,pacific,moderate,protestant,12,0,0,0,0,0,0,.63213658,10.98,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0
408,37,19,16,male,other,$25000 or more,pacific,liberal,none,19,1,0,1,1,0,0,-.51955086,-9.0200005,No,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
409,35,12,12,female,other,$25000 or more,pacific,moderate,catholic,12,1,1,0,0,0,0,-.63471961,-11.02,Yes,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
410,42,19,5,female,other,$25000 or more,pacific,conservative,protestant,19,0,0,0,0,0,0,-.23162898,-4.02,Yes,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
411,46,12,12,female,white,$25000 or more,pacific,conservative,protestant,12,1,1,0,0,0,0,-.0012914971,-.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
412,53,12,12,male,white,$25000 or more,pacific,extremely liberal,catholic,12,1,1,0,0,0,0,.40179911,6.98,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
413,28,13,18,male,white,$25000 or more,pacific,conservative,protestant,13,1,0,1,0,1,0,-1.0378102,-18.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
414,54,17,12,female,white,$25000 or more,pacific,moderate,catholic,17,1,1,0,0,0,0,.45938349,7.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
415,38,17,20,female,white,$25000 or more,pacific,liberal,catholic,17,1,0,1,0,1,1,-.46196648,-8.0200005,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
416,32,14,14,female,white,$25000 or more,pacific,slightly liberal,catholic,14,1,0,1,0,0,0,-.80747271,-14.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
417,53,16,12,female,white,$25000 or more,pacific,liberal,protestant,16,1,1,0,0,0,0,.40179911,6.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
418,20,13,,female,white,$25000 or more,pacific,moderate,jewish,13,1,0,1,0,1,1,-1.4984852,-26.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
419,40,14,14,female,white,$25000 or more,pacific,slghtly conservative,protestant,14,1,0,1,0,0,0,-.34679773,-6.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
420,46,16,16,female,white,$25000 or more,pacific,liberal,jewish,16,1,0,1,1,0,0,-.0012914971,-.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
421,41,16,12,male,white,$25000 or more,pacific,slghtly conservative,protestant,16,1,1,0,0,0,0,-.28921336,-5.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
422,29,15,13,female,white,$25000 or more,pacific,slghtly conservative,catholic,15,1,0,1,0,0,0,-.98022586,-17.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
423,53,14,12,female,white,$25000 or more,pacific,slightly liberal,protestant,14,1,1,0,0,0,0,.40179911,6.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
424,73,18,,male,white,$25000 or more,pacific,moderate,none,18,1,0,1,0,1,1,1.5534866,26.98,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
425,58,14,8,female,white,$25000 or more,pacific,moderate,catholic,14,0,0,0,0,0,0,.68972099,11.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
426,58,15,18,female,white,$25000 or more,pacific,slightly liberal,protestant,15,1,0,1,0,1,0,.68972099,11.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
427,52,13,12,female,white,$25000 or more,pacific,slghtly conservative,protestant,13,1,1,0,0,0,0,.34421474,5.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
428,35,12,,male,white,$25000 or more,pacific,slghtly conservative,catholic,12,1,0,1,0,1,1,-.63471961,-11.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
429,37,16,12,male,black,$25000 or more,pacific,extremely liberal,none,16,1,1,0,0,0,0,-.51955086,-9.0200005,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0
430,41,6,6,male,other,$25000 or more,pacific,slightly liberal,catholic,6,0,0,0,0,0,0,-.28921336,-5.02,No,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
431,38,15,,female,white,$25000 or more,pacific,extremely liberal,jewish,15,1,0,1,0,1,1,-.46196648,-8.0200005,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
432,34,17,,female,white,$25000 or more,pacific,slightly liberal,other (specify),17,1,0,1,0,1,1,-.69230396,-12.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
433,39,16,14,male,other,$25000 or more,pacific,moderate,catholic,16,1,0,1,0,0,0,-.40438211,-7.02,No,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
434,56,14,12,male,white,$25000 or more,pacific,conservative,protestant,14,1,1,0,0,0,0,.57455224,9.9799995,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
435,52,13,12,female,white,$20000 - 24999,pacific,moderate,protestant,13,1,1,0,0,0,0,.34421474,5.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
436,36,15,16,female,white,$25000 or more,pacific,extremely liberal,christian,15,1,0,1,1,0,0,-.57713521,-10.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
437,20,14,,male,other,$25000 or more,pacific,moderate,none,14,1,0,1,0,1,1,-1.4984852,-26.02,No,No,No,Yes,No,No,No,Yes,0,0,0,0,0,1,1
438,28,14,11,male,white,$25000 or more,pacific,slghtly conservative,catholic,14,1,0,0,0,0,0,-1.0378102,-18.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
439,38,12,16,female,other,$1000 to 2999,pacific,liberal,catholic,12,1,0,1,1,0,0,-.46196648,-8.0200005,Yes,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
440,79,10,0,female,white,$8000 to 9999,pacific,moderate,protestant,10,0,0,0,0,0,0,1.8989928,32.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
441,84,11,,female,white,$15000 - 19999,pacific,,catholic,11,1,0,1,0,1,1,2.1869147,37.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
442,61,16,,male,white,$25000 or more,pacific,slghtly conservative,protestant,16,1,0,1,0,1,1,.86247408,14.98,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
443,47,12,,female,white,$25000 or more,pacific,slghtly conservative,catholic,12,1,0,1,0,1,1,.056292877,.98000002,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
444,20,14,,female,white,refused,pacific,slghtly conservative,protestant,14,1,0,1,0,1,1,-1.4984852,-26.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
445,38,14,,male,black,$25000 or more,pacific,moderate,protestant,14,1,0,1,0,1,1,-.46196648,-8.0200005,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,1,1
446,38,16,16,male,white,$25000 or more,pacific,extremely liberal,protestant,16,1,0,1,1,0,0,-.46196648,-8.0200005,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
447,70,17,15,female,white,,pacific,moderate,protestant,17,1,0,1,0,0,0,1.3807335,23.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
448,54,13,,female,white,$25000 or more,pacific,moderate,protestant,13,1,0,1,0,1,1,.45938349,7.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
449,32,11,,female,white,,pacific,liberal,none,11,1,0,1,0,1,1,-.80747271,-14.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
450,31,6,4,female,white,$1000 to 2999,pacific,conservative,catholic,6,0,0,0,0,0,0,-.86505711,-15.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
451,26,14,,male,black,$25000 or more,pacific,liberal,none,14,1,0,1,0,1,1,-1.152979,-20.02,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,1,1
452,84,6,,female,white,refused,pacific,slightly liberal,catholic,6,1,0,1,0,1,1,2.1869147,37.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
453,42,12,10,female,other,$25000 or more,pacific,moderate,catholic,12,1,0,0,0,0,0,-.23162898,-4.02,Yes,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
454,41,12,12,female,black,$25000 or more,pacific,,none,12,1,1,0,0,0,0,-.28921336,-5.02,Yes,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0
455,32,13,12,female,white,refused,pacific,conservative,catholic,13,1,1,0,0,0,0,-.80747271,-14.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
456,25,14,15,female,white,$15000 - 19999,pacific,conservative,protestant,14,1,0,1,0,0,0,-1.2105633,-21.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
457,51,11,,male,white,refused,pacific,moderate,other (specify),11,1,0,1,0,1,1,.28663036,4.98,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
458,30,12,,male,white,$20000 - 24999,pacific,,none,12,1,0,1,0,1,1,-.92264146,-16.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
459,34,12,10,female,white,$25000 or more,pacific,extremely liberal,catholic,12,1,0,0,0,0,0,-.69230396,-12.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
460,52,16,8,male,white,$25000 or more,pacific,conservative,catholic,16,0,0,0,0,0,0,.34421474,5.98,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
461,52,12,,female,white,$25000 or more,pacific,slghtly conservative,protestant,12,1,0,1,0,1,1,.34421474,5.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
462,79,14,12,female,white,$10000 - 14999,pacific,conservative,protestant,14,1,1,0,0,0,0,1.8989928,32.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
463,26,13,,female,other,$15000 - 19999,pacific,moderate,christian,13,1,0,1,0,1,1,-1.152979,-20.02,Yes,No,No,Yes,No,No,No,Yes,0,0,0,0,0,1,1
464,32,13,,female,black,$20000 - 24999,pacific,slghtly conservative,christian,13,1,0,1,0,1,1,-.80747271,-14.02,Yes,No,Yes,No,No,No,No,Yes,0,0,0,0,0,1,1
465,37,12,12,male,white,$25000 or more,pacific,liberal,none,12,1,1,0,0,0,0,-.51955086,-9.0200005,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
466,23,12,12,female,black,$15000 - 19999,pacific,moderate,christian,12,1,1,0,0,0,0,-1.3257321,-23.02,Yes,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0
467,32,10,6,male,other,$20000 - 24999,pacific,liberal,catholic,10,0,0,0,0,0,0,-.80747271,-14.02,No,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
468,21,12,16,female,other,lt $1000,pacific,liberal,christian,12,1,0,1,1,0,0,-1.4409008,-25.02,Yes,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
469,24,9,,female,other,$25000 or more,pacific,moderate,none,9,1,0,1,0,1,1,-1.2681477,-22.02,Yes,No,No,Yes,No,No,No,Yes,0,0,0,0,0,1,1
470,28,16,14,female,black,$25000 or more,pacific,liberal,protestant,16,1,0,1,0,0,0,-1.0378102,-18.02,Yes,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0
471,35,12,5,male,other,$25000 or more,pacific,conservative,christian,12,0,0,0,0,0,0,-.63471961,-11.02,No,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
472,48,20,12,male,black,$25000 or more,pacific,slightly liberal,catholic,20,1,1,0,0,0,0,.11387725,1.98,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0
473,30,12,14,male,white,$25000 or more,pacific,conservative,none,12,1,0,1,0,0,0,-.92264146,-16.02,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
474,57,12,12,female,white,$10000 - 14999,pacific,moderate,catholic,12,1,1,0,0,0,0,.63213658,10.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
475,46,12,,male,black,$10000 - 14999,pacific,extremely liberal,protestant,12,1,0,1,0,1,1,-.0012914971,-.02,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,1,1
476,49,17,6,female,black,$25000 or more,pacific,moderate,protestant,17,0,0,0,0,0,0,.17146163,2.98,Yes,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0
477,20,12,12,male,other,$10000 - 14999,pacific,conservative,catholic,12,1,1,0,0,0,0,-1.4984852,-26.02,No,No,No,Yes,No,No,No,Yes,0,0,0,0,0,0,0
478,74,13,16,female,white,refused,pacific,extrmly conservative,catholic,13,1,0,1,1,0,0,1.611071,27.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
479,53,11,12,male,white,$25000 or more,pacific,liberal,none,11,1,1,0,0,0,0,.40179911,6.98,No,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
480,66,16,,male,other,$25000 or more,pacific,moderate,catholic,16,1,0,1,0,1,1,1.150396,19.98,No,No,No,Yes,No,No,No,Yes,0,0,0,0,0,1,1
481,27,16,16,female,white,$25000 or more,pacific,conservative,protestant,16,1,0,1,1,0,0,-1.0953946,-19.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
482,25,15,16,female,white,$25000 or more,pacific,conservative,protestant,15,1,0,1,1,0,0,-1.2105633,-21.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,0,0
483,54,13,,female,white,$25000 or more,pacific,slghtly conservative,none,13,1,0,1,0,1,1,.45938349,7.98,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
484,19,12,,female,white,refused,pacific,extremely liberal,jewish,12,1,0,1,0,1,1,-1.5560696,-27.02,Yes,Yes,No,No,No,No,No,Yes,0,0,0,0,0,1,1
485,51,16,,male,black,$7000 to 7999,middle atlantic,moderate,none,16,1,0,1,0,1,1,.28663036,4.98,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
486,31,12,6,male,other,$25000 or more,middle atlantic,conservative,catholic,12,0,0,0,0,0,0,-.86505711,-15.02,No,No,No,Yes,No,Yes,No,No,0,0,0,0,0,0,0
487,31,10,,female,white,$3000 to 3999,middle atlantic,moderate,catholic,10,1,0,1,0,1,1,-.86505711,-15.02,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
488,36,12,,male,black,$25000 or more,middle atlantic,moderate,christian,12,1,0,1,0,1,1,-.57713521,-10.02,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
489,60,12,16,female,white,$15000 - 19999,middle atlantic,extrmly conservative,protestant,12,1,0,1,1,0,0,.80488974,13.98,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
490,35,14,,female,black,$25000 or more,middle atlantic,moderate,catholic,14,1,0,1,0,1,1,-.63471961,-11.02,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
491,55,18,,female,white,$25000 or more,middle atlantic,moderate,jewish,18,1,0,1,0,1,1,.51696783,8.9799995,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
492,51,20,16,female,white,$25000 or more,middle atlantic,extremely liberal,jewish,20,1,0,1,1,0,0,.28663036,4.98,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
493,25,18,12,female,white,$25000 or more,middle atlantic,slightly liberal,catholic,18,1,1,0,0,0,0,-1.2105633,-21.02,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
494,49,16,16,female,white,refused,middle atlantic,moderate,protestant,16,1,0,1,1,0,0,.17146163,2.98,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
495,38,8,,male,white,$25000 or more,middle atlantic,slightly liberal,buddhism,8,1,0,1,0,1,1,-.46196648,-8.0200005,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
496,53,16,16,male,white,$25000 or more,middle atlantic,extremely liberal,none,16,1,0,1,1,0,0,.40179911,6.98,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
497,52,18,12,female,white,$25000 or more,middle atlantic,extremely liberal,none,18,1,1,0,0,0,0,.34421474,5.98,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
498,60,13,16,male,black,$25000 or more,middle atlantic,liberal,catholic,13,1,0,1,1,0,0,.80488974,13.98,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,0,0
499,28,6,0,male,black,refused,middle atlantic,,moslem/islam,6,0,0,0,0,0,0,-1.0378102,-18.02,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,0,0
500,44,12,,female,black,$25000 or more,middle atlantic,slightly liberal,catholic,12,1,0,1,0,1,1,-.11646024,-2.02,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
501,42,12,,female,black,$15000 - 19999,middle atlantic,slghtly conservative,protestant,12,1,0,1,0,1,1,-.23162898,-4.02,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
502,42,17,12,male,other,refused,middle atlantic,,moslem/islam,17,1,1,0,0,0,0,-.23162898,-4.02,No,No,No,Yes,No,Yes,No,No,0,0,0,0,0,0,0
503,20,11,,male,black,$15000 - 19999,middle atlantic,moderate,protestant,11,1,0,1,0,1,1,-1.4984852,-26.02,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
504,66,9,8,female,white,$6000 to 6999,middle atlantic,moderate,catholic,9,0,0,0,0,0,0,1.150396,19.98,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
505,42,9,0,female,black,$15000 - 19999,middle atlantic,liberal,protestant,9,0,0,0,0,0,0,-.23162898,-4.02,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,0,0
506,72,16,,male,white,$25000 or more,middle atlantic,slghtly conservative,catholic,16,1,0,1,0,1,1,1.4959022,25.98,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
507,43,13,6,female,white,$25000 or more,middle atlantic,extrmly conservative,catholic,13,0,0,0,0,0,0,-.17404461,-3.02,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
508,54,18,18,male,white,,middle atlantic,liberal,jewish,18,1,0,1,0,1,0,.45938349,7.98,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
509,57,18,16,female,white,$25000 or more,middle atlantic,moderate,jewish,18,1,0,1,1,0,0,.63213658,10.98,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
510,56,12,12,female,black,$25000 or more,middle atlantic,slghtly conservative,catholic,12,1,1,0,0,0,0,.57455224,9.9799995,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,0,0
511,34,12,,male,black,$25000 or more,middle atlantic,conservative,protestant,12,1,0,1,0,1,1,-.69230396,-12.02,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
512,31,12,,female,black,$15000 - 19999,middle atlantic,slightly liberal,protestant,12,1,0,1,0,1,1,-.86505711,-15.02,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
513,25,12,,female,other,$15000 - 19999,middle atlantic,conservative,catholic,12,1,0,1,0,1,1,-1.2105633,-21.02,Yes,No,No,Yes,No,Yes,No,No,0,0,0,0,0,1,1
514,30,9,,female,black,$20000 - 24999,middle atlantic,conservative,protestant,9,1,0,1,0,1,1,-.92264146,-16.02,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
515,24,10,10,male,black,$25000 or more,middle atlantic,moderate,protestant,10,1,0,0,0,0,0,-1.2681477,-22.02,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,0,0
516,35,14,,female,black,$5000 to 5999,middle atlantic,conservative,protestant,14,1,0,1,0,1,1,-.63471961,-11.02,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
517,32,10,,male,black,$15000 - 19999,middle atlantic,slightly liberal,none,10,1,0,1,0,1,1,-.80747271,-14.02,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
518,38,14,10,female,other,$25000 or more,middle atlantic,conservative,catholic,14,1,0,0,0,0,0,-.46196648,-8.0200005,Yes,No,No,Yes,No,Yes,No,No,0,0,0,0,0,0,0
519,46,9,,female,white,$15000 - 19999,middle atlantic,slightly liberal,catholic,9,1,0,1,0,1,1,-.0012914971,-.02,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
520,59,12,8,male,white,$25000 or more,middle atlantic,moderate,catholic,12,0,0,0,0,0,0,.74730533,12.98,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
521,26,12,,female,white,refused,middle atlantic,moderate,protestant,12,1,0,1,0,1,1,-1.152979,-20.02,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
522,29,12,,female,white,$20000 - 24999,middle atlantic,slghtly conservative,catholic,12,1,0,1,0,1,1,-.98022586,-17.02,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
